name_firm,street_name,category
Учебный класс автошколы Автокласс,ул. Билецкого 4 ,Автошколы
Аловак,ул. Речицкий проспект 80 ,Бизнес
Детские игровые залы и площадки,ул. Владимирова 35 ,Развлечения
"Гомельская городская клиническая больница № 3, отделение патологии беременности",ул. Ильича 286 ,Медицина и фармацевтика
Альба Пром,ул. Лепешинского 7 ,Системы охраны
Armtek,ул. Барыкина 230Б ,Аксессуары для автомобилей
Апартаменты Vozle Vokzala Po Krasnoarmejskoj 11a,ул. Cyrvonaarmiejskaja vulica 11А ,Туризм
Ассоциация фермеров Гомельской области,ул. Советская 143 ,Бизнес
Коллант,ул. Крестьянская 29 ,Товары для дома и дачи
Гомельский областной центр туризма и краеведения детей и молодежи,ул. проспект Октября 36А (Индекс: 246029),Наука и образование
Магазин № 9 Гомельского Хлебторга,ул. Волгоградская 43Б ,Товары для дома и дачи
"Беларусбанк, инфокиоск",ул. Оршанская 1А ,Реклама
Планета света,ул. Речицкий проспект 5В (Индекс: 246027),Реклама
Adagio,ул. проспект Ленина 3 ,Кафе
ФрилансГрупп,ул. Советская 26А ,Строительство и недвижимость
Ггу им. Ф. Скорины филиал кафедры экономика и управление,ул. Междугородняя 24 ,Наука и образование
БелДрев,ул. проспект Космонавтов 61А ,Мебель
Кондиционеры,ул. Привокзальная площадь 1 (Индекс: 246022),Установка кондиционеров
Manifik,ул. Гагарина 65 ,Косметика и парфюмерия
Аптека,ул. Ильича 331 ,Медицина и фармацевтика
Телефоны,ул. проспект Ленина 63 ,Телекоммуникации и связь
Арт мастер,ул. Советская 5 ,Производство и поставки
